Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
Y1,16MHz,raffilibkicad:ABM7,1,Abracon,ABM7-16.000MHZ-D2Y-T,Mouser,815-ABM7-16-D2Y-T
SW1,SW_PUSH_SMALL_H,raffilibkicad:APEM_tactile_SMD_switch_6mm,1,APEM,ADTSM66NV,Mouser,642-ADTSM66NV
C3;C4;C9;C8;C11,100n,raffilibkicad:C_0805,5,AVX,08055C104KAT2A,Mouser,581-08055C104K
C1;C2,18p,raffilibkicad:C_0805,2,Vishay,VJ0805A180KXACBC,Mouser,77-VJ0805A180KXACBC
C5;C6;C10,1u,raffilibkicad:C_0805,3,Taiyo Yuden,UMK212B7105KG-T,Mouser,963-UMK212B7105KG-T
C7,22u,raffilibkicad:C_1210,1,Taiyo Yuden,TMK325BJ226MM-P,Mouser,963-TMK325BJ226MM-P
L1;L2,100n,raffilibkicad:Inductor_PSU_NLCV32T,2,TDK,NLCV32T-R10M-PFR,Mouser,810-NLCV32T-R10M-PFR
D1;D2;D3;D4,LED,raffilibkicad:LED_D3.0mm,4,Lite-On,LTL-4231N,Mouser,859-LTL-4231N
JTAG1,CONN_02X03,raffilibkicad:Pin_Header_Straight_2x03_Pitch2.54mm,1,-,-,Mouser,571-103777-3
R1;R4,10k,raffilibkicad:R_0805,2,Vishay,CRCW080510K0FKEAC,Mouser,71-CRCW080510K0FKEAC
R5;R6;R7;R8,1k,raffilibkicad:R_0805,4,Vishay,CRCW08051K00FKEAC,Mouser,71-CRCW08051K00FKEAC
R2;R3,22,raffilibkicad:R_0805,2,Vishay,CRCW080522R0FKEA,Mouser,71-CRCW0805-22-E3
U4,LP2985,raffilibkicad:SOT-23-5,1,Texas,LP2985-33DBVR,Mouser,595-LP2985-33DBVR
U1,ATmega32U4-AU,raffilibkicad:TQFP-44_10x10mm_Pitch0.8mm,1,Atmega,ATMEGA32U4-AU,Mouser,556-ATMEGA32U4-AU
X1,Type B vertical,raffilibkicad:USB_TYPE_B_MUSB_Straight,1,Stewart,SS-52300-002,Mouser,530-SS-52300-002
